策略類型,策略名稱,核心邏輯,關鍵技術指標,策略詳細說明與量化實作細節
趨勢跟蹤,海龜交易法 (Turtle Trading),買入突破、追蹤停損，透過波動率控制倉位。,唐奇安通道 (Donchian Channel)、真實波動幅度 (ATR),說明： 當價格突破過去 20 日最高點做多，跌破 10 日最低點平倉。核心精神在於資金控管。實作： 需寫程式動態計算 ATR 來決定每次下單的部位大小（例如單筆虧損不超過總資金 1%）。在加密貨幣市場中，通常會縮短週期以適應高波動。
趨勢跟蹤,三重濾網策略 (Triple Screen),結合多重時間框架，順大勢、逆小勢進場。,MACD (大週期)、RSI 或 KD (小週期),說明： 第一層看長週期（如日線）MACD 確定大趨勢；第二層看短週期（如 4 小時線）RSI 尋找超賣區間；第三層設定突破進場單。實作： 程式需同時訂閱不同時間級別的 K 線資料 (Klines/Candles)，邏輯判斷上會有多層 if 條件，能有效過濾掉單一週期的假突破訊號。
均值回歸,布林通道回歸 (Bollinger Reversion),假設價格在常態分佈內波動，觸及極端值會反彈。,布林通道 (Bollinger Bands)、RSI,說明： 價格跌破布林下軌且 RSI < 30 時買入；突破布林上軌且 RSI > 70 時賣出。實作： 非常適合寫成震盪行情的「網格交易」或低買高賣機器人。參數通常設為 20 期移動平均線加上 2 倍標準差。
動能交易,動量爆發 (Momentum Breakout),尋找短期內漲幅急遽擴大、成交量異常放大的標的。,成交量 (Volume)、相對強弱指標 (RSI)、平均方向指數 (ADX),說明： 當 ADX > 25（顯示趨勢強烈），且伴隨成交量放大至過去平均的 2 倍以上時，順勢追高買入。實作： 需要即時監控多個交易對的量價變化。實作上常會加入「跳空缺口」或「歷史新高」作為過濾條件，捕捉最強勢的資產。
統計套利,配對交易 (Pairs Trading),尋找高度相關的兩個資產，當價格走勢背離時，做多被低估者，放空被高估者。,相關係數 (Correlation)、Z-Score,說明： 例如比特幣 (BTC) 與以太幣 (ETH) 走勢通常高度連動。若兩者價差突然擴大（Z-Score 超過閾值），則做多弱勢幣、做空強勢幣，等待價差回歸。實作： 不依賴單一資產的絕對漲跌，而是賺取相對價差。需要計算兩個時間序列的協整性 (Cointegration)，對數學與統計模型的依賴度較高。
日內交易,VWAP 均價回歸 (VWAP Trading),散戶與機構法人常以 VWAP 作為當日成本公定價，價格偏離 VWAP 過多會吸引回補。,成交量加權平均價 (VWAP),說明： 如果價格在盤中遠低於 VWAP，視為折價買入機會；遠高於 VWAP 則視為溢價賣出機會。實作： 主要用於極短線（如 5 分鐘或 15 分鐘線）。由於 VWAP 是每日重新計算，程式需在每日換日線時重置累計成交量與典型價格。
型態突破,波動率收縮型態 (VCP),資產在爆發前，通常會經歷一段價格波動越來越小、成交量萎縮的「洗盤」過程。,均線 (SMA)、成交量萎縮特徵,說明： 觀察價格修正的幅度是否一次比一次小（例如從跌 20% -> 10% -> 5%），在最後一次波動極度收斂、且帶量突破頸線時買入。實作： 型態辨識在純程式碼邏輯中較難定義，通常會將條件轉化為：過去一段時間的高低點區間逐漸縮小 (ATR 下降)，且短期均線高度糾結。
趨勢跟蹤,拉回做多策略 (Pullback / N-Pattern Strategy),確認多頭趨勢（底底高、頭頭高）後，等待價格回檔且不破前低，於再度出量轉強時順勢買入。轉折點指標 (ZigZag)、K線型態、均線 (做為輔助支撐) 這套方法肉眼看圖很直覺，但寫成自動化程式較具挑戰。程式需能判斷「波段高低點」。常見做法是利用滾動窗口 (Rolling Window) 找出局部極大值/極小值（Local Extrema），或使用 ZigZag 指標找出轉折點，並透過條件式 if (Low[1] > Low[2]) and (High[1] > High[2]) 來定義趨勢，接著監測短均線回踩長均線來觸發進場。,,
型態學 / 反轉型態,W底 / M頭 (Double Bottom / Top),測試關鍵支撐/壓力位兩次不過，顯示該價位有強大防守，隨後反向突破頸線引發停損潮。,支撐與壓力線、成交量 (Volume),"說明： 以 W底（雙重底）為例，價格兩次觸及相近低點不破。當價格往上突破兩個低點中間的高點（頸線）時，視為強烈買入訊號。

實作： 程式化難度中等。通常會用滾動視窗尋找兩個局部最低點，並要求這兩個低點的價格差在極小百分比（如 2%）以內，且突破頸線時成交量需大於均量。"
型態學 / 反轉型態,頭肩底 / 頭肩頂 (Head and Shoulders),多空力量的徹底扭轉。左肩是初次試探，頭部是極端情緒，右肩是力量衰退。,頸線 (Neckline)、均線 (作為輔助),"說明： 以頭肩底為例，包含三個低點，中間的低點（頭）最深，左右兩側的低點（肩）較淺。當價格帶量突破連接兩肩高點的「頸線」時進場。
在新視窗中開啟Shutterstock





實作： 圖像辨識極難寫成純邏輯代碼。實務上，量化交易員會改用 MACD 柱狀圖的「底背離」（價格創新低，但指標未創新低）來捕捉類似頭肩底的轉折精神，而非死磕 K 線畫圖。"
型態學 / 延續型態,多頭/空頭旗型 (Bull / Bear Flag),價格在經歷一波猛烈上漲（旗桿）後，進行短暫且規律的平行回檔休息（旗面），隨後再次爆發。,通道線、布林通道帶寬收斂,"說明： 這就是典型的「強勢股洗盤」。多頭旗型中，價格會沿著一個微微向下傾斜的平行通道整理，一旦向上突破通道上緣，往往會複製第一波（旗桿）的漲幅。
在新視窗中開啟Shutterstock





實作： 勝率極高且適合程式化。可以定義為：近期 10 天內出現過大於 15% 的單邊漲幅（定義旗桿），接著在一個狹窄的區間內盤整 5-10 天（ATR 下降），隨後出現大紅K突破區間高點時買入。"
型態學 / 延續型態,杯柄型態 (Cup and Handle),經過漫長的圓弧底打底（杯身）後，面臨前高賣壓而出現小幅回調（杯柄），最後成功突破。,均線多頭排列、價格區間收斂,"說明： 這是成長股大師威廉·歐奈爾（William O'Neil）最愛的高勝率型態。杯柄部分的成交量必須顯著萎縮（代表浮額清洗乾淨），突破杯沿時買進。
在新視窗中開啟Shutterstock
探索





實作： 週期通常較長（幾週到幾個月）。程式化時，可尋找價格從高點回落不超過 30-40% 且形成圓弧狀，接著在接近前高附近發生波動率極度收縮（VCP），最後帶量突破前高。"
